中国电信-广东-酒店,#genre#
CCTV1,http://61.141.202.118:9901/tsfile/live/0001_1.m3u8
CCTV2,http://61.141.202.118:9901/tsfile/live/0002_1.m3u8
CCTV3,http://61.141.202.118:9901/tsfile/live/0003_2.m3u8
CCTV4,http://61.141.202.118:9901/tsfile/live/0003_1.m3u8
CCTV5,http://61.141.202.118:9901/tsfile/live/0005_1.m3u8
CCTV6,http://61.141.202.118:9901/tsfile/live/0006_1.m3u8
CCTV7,http://61.141.202.118:9901/tsfile/live/0007_1.m3u8
CCTV8,http://61.141.202.118:9901/tsfile/live/0008_1.m3u8
CCTV9,http://61.141.202.118:9901/tsfile/live/0009_1.m3u8
CCTV10,http://61.141.202.118:9901/tsfile/live/0010_1.m3u8
CCTV11,http://61.141.202.118:9901/tsfile/live/0011_1.m3u8
CCTV12,http://61.141.202.118:9901/tsfile/live/0012_1.m3u8
CCTV13,http://61.141.202.118:9901/tsfile/live/0013_1.m3u8
CCTV14,http://61.141.202.118:9901/tsfile/live/0125_1.m3u8
CCTV15,http://61.141.202.118:9901/tsfile/live/0015_1.m3u8
CGTN,http://61.141.202.118:9901/tsfile/live/0019_1.m3u8
湖南卫视,http://61.141.202.118:9901/tsfile/live/0128_1.m3u8
上海卫视,http://61.141.202.118:9901/tsfile/live/0107_1.m3u8
浙江卫视,http://61.141.202.118:9901/tsfile/live/0124_1.m3u8
江苏卫视,http://61.141.202.118:9901/tsfile/live/0127_1.m3u8
北京卫视,http://61.141.202.118:9901/tsfile/live/0122_1.m3u8
天津卫视,http://61.141.202.118:9901/tsfile/live/0135_1.m3u8
山东卫视,http://61.141.202.118:9901/tsfile/live/0131_1.m3u8
辽宁卫视,http://61.141.202.118:9901/tsfile/live/0121_1.m3u8
深圳卫视,http://61.141.202.118:9901/tsfile/live/0126_1.m3u8
深圳都市,http://61.141.202.118:9901/tsfile/live/0126_2.m3u8
深圳电视剧,http://61.141.202.118:9901/tsfile/live/0126_3.m3u8
广东卫视,http://61.141.202.118:9901/tsfile/live/0125_2.m3u8
广东珠江,http://61.141.202.118:9901/tsfile/live/0125_3.m3u8
CGTN,http://61.141.202.118:9901/tsfile/live/0019_2.m3u8
