河北酒店,#genre#
北京酒店,#genre#
广东酒店,#genre#
上海酒店,#genre#
天津酒店,#genre#
梨园,http://111.33.89.26:9901udp://@224.2.2.185:7000
车迷,http://111.33.89.26:9901udp://@224.2.2.242:7000
靓装,http://111.33.89.26:9901udp://@224.2.2.205:7000
央视台球,http://111.33.89.26:9901udp://@224.2.2.197:7000
通知信息1,http://111.33.89.26:9901udp://224.2.3.7:7000
科普中国武清站,http://111.33.89.26:9901udp://@224.2.3.8:7000
中国天气,http://111.33.89.26:9901rtp://@224.2.5.55:6055
L内蒙古卫视,http://111.33.89.26:9901rtp://@225.1.1.32:5002
L浙江卫视,http://111.33.89.26:9901rtp://@225.1.1.112:5002
L湖南卫视,http://111.33.89.26:9901rtp://@225.1.1.114:5002
L新疆卫视,http://111.33.89.26:9901rtp://@225.1.1.35:5002
L湖北卫视,http://111.33.89.26:9901rtp://@225.1.1.147:5002
L四川卫视,http://111.33.89.26:9901rtp://@225.1.1.123:5002
L江西卫视,http://111.33.89.26:9901rtp://@225.1.2.29:5002
L安徽卫视,http://111.33.89.26:9901rtp://@225.1.1.127:5002
L深圳卫视,http://111.33.89.26:9901rtp://@225.1.1.117:5002
L吉林卫视,http://111.33.89.26:9901rtp://@225.1.2.26:5002
L上海卫视,http://111.33.89.26:9901rtp://@225.1.2.31:5002
重庆酒店,#genre#
山西酒店,#genre#
CCTV1,http://124.165.251.82:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://124.165.251.82:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://124.165.251.82:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://124.165.251.82:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://124.165.251.82:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://124.165.251.82:9999/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://124.165.251.82:9999/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://124.165.251.82:9999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://124.165.251.82:9999/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://124.165.251.82:9999/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://124.165.251.82:9999/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://124.165.251.82:9999/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
