中国联通-北京-酒店,#genre#
天津卫视,http://101.65.34.239:9901/tsfile/live/0135_1.m3u8
黑龙江卫视,http://101.65.34.239:9901/tsfile/live/1001_1.m3u8
东南卫视,http://101.65.34.239:9901/tsfile/live/0131_1.m3u8
河南卫视,http://101.65.34.239:9901/tsfile/live/0121_1.m3u8
湖北卫视,http://101.65.34.239:9901/tsfile/live/0116_1.m3u8
陕西卫视,http://101.65.34.239:9901/tsfile/live/0136_1.m3u8
山西卫视,http://101.65.34.239:9901/tsfile/live/0109_2.m3u8
广西卫视,http://101.65.34.239:9901/tsfile/live/0112_1.m3u8
云南卫视,http://101.65.34.239:9901/tsfile/live/0110_1.m3u8
河北卫视,http://101.65.34.239:9901/tsfile/live/0111_2.m3u8
金鹰卡通,http://101.65.34.239:9901/tsfile/live/1000_1.m3u8
哈哈炫动,http://101.65.34.239:9901/tsfile/live/1002_1.m3u8
内蒙古卫视,http://101.65.34.239:9901/tsfile/live/0109_1.m3u8
宁夏卫视,http://101.65.34.239:9901/tsfile/live/0112_2.m3u8
西藏卫视,http://101.65.34.239:9901/tsfile/live/0111_1.m3u8
青海卫视,http://101.65.34.239:9901/tsfile/live/0140_1.m3u8
甘肃卫视,http://101.65.34.239:9901/tsfile/live/0141_1.m3u8
浙江卫视,http://101.65.34.239:9901/tsfile/live/0124_1.m3u8
钱江,http://101.65.34.239:9901/tsfile/live/1003_1.m3u8
经济生活,http://101.65.34.239:9901/tsfile/live/1004_1.m3u8
科教影视,http://101.65.34.239:9901/tsfile/live/1005_1.m3u8
中国联通-山东-酒店,#genre#
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8
CCTV2,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8
CCTV3,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8
CCTV4,http://124.128.73.58:9901/tsfile/live/0004_1.m3u8
CCTV5,http://124.128.73.58:9901/tsfile/live/0005_1.m3u8
CCTV6,http://124.128.73.58:9901/tsfile/live/0006_1.m3u8
CCTV7,http://124.128.73.58:9901/tsfile/live/0007_1.m3u8
CCTV8,http://124.128.73.58:9901/tsfile/live/0008_1.m3u8
CCTV9,http://124.128.73.58:9901/tsfile/live/0009_1.m3u8
CCTV10,http://124.128.73.58:9901/tsfile/live/0010_1.m3u8
CCTV11,http://124.128.73.58:9901/tsfile/live/0011_1.m3u8
CCTV12,http://124.128.73.58:9901/tsfile/live/0012_1.m3u8
CCTV13,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8
CCTV14,http://124.128.73.58:9901/tsfile/live/0014_1.m3u8
CCTV15,http://124.128.73.58:9901/tsfile/live/0015_1.m3u8
山东卫视,http://124.128.73.58:9901/tsfile/live/0107_1.m3u8
浙江卫视,http://124.128.73.58:9901/tsfile/live/0124_1.m3u8
湖南卫视,http://124.128.73.58:9901/tsfile/live/0128_1.m3u8
江苏卫视,http://124.128.73.58:9901/tsfile/live/0127_1.m3u8
上海卫视,http://124.128.73.58:9901/tsfile/live/0107_2.m3u8
