尼勒克2,rtp://238.125.3.224:5140
塔什库尔干1,rtp://238.125.3.252:5140
若羌电视,rtp://238.125.2.140:5140
CHTV,rtp://238.125.2.173:5140
疏附1,rtp://238.125.2.184:5140
SFTV2,rtp://238.125.2.185:5140
BLTV,rtp://238.125.2.186:5140
裕民,rtp://238.125.2.191:5140
xxxxx,rtp://238.125.2.193:5140
M米东,rtp://238.125.2.207:5140
五师双河,rtp://238.125.2.210:5140
五师综合,rtp://238.125.2.211:5140
托里1,rtp://238.125.2.213:5140
于田1,rtp://238.125.2.225:5140
于田2,rtp://238.125.2.224:5140
沙雅1,rtp://238.125.2.233:5140
沙雅2,rtp://238.125.2.232:5140
依吾1,rtp://238.125.2.246:5140
KSTV2,rtp://238.125.2.247:5140
