东方购物-5HD,rtp://239.45.3.253:5140
聚鲨环球精选,rtp://239.45.3.123:5140
央广购物,rtp://239.45.3.213:5140
家家购物,rtp://239.45.3.179:5140
快乐购物,rtp://239.45.1.53:5140
优购物,rtp://239.45.1.114:5140
好享购物,rtp://239.45.1.253:5140
中央购物,rtp://239.45.3.79:5140
家有购物,rtp://239.45.1.43:514

CCTV-16奥林匹克 4K,rtp://239.45.0.12:5140
欢笑剧场4K,rtp://239.45.1.4:5140
百事通4K视界,rtp://239.45.1.9:5140
百事通4K视界,rtp://239.45.1.42:5140
百事通4K视界,rtp://239.45.3.107:5140
百事通4K纪实,rtp://239.45.1.10:5140
百事通4K少儿,rtp://239.45.1.11:5140
百事通4K少儿,rtp://239.45.1.1:5140
BesTV4K 测试,rtp://239.45.1.108:5140

卡酷动画 FHD,rtp://239.45.0.8:5140
金鹰卡通,rtp://239.45.3.118:5140
嘉佳卡通,rtp://239.45.1.48:5140
卡酷动画,rtp://239.45.1.49:5140

教育1台,rtp://239.45.1.125:5140
教育1台,rtp://239.45.1.51:5140
教育2台,rtp://239.45.1.52:5140
教育4台 FHD,rtp://239.45.0.21:5140
教育4台,rtp://239.45.1.50:5140
上海教育电视台,rtp://239.45.0.13:5140

一年级,rtp://239.45.1.28:5140
二年级,rtp://239.45.1.29:5140
三年级,rtp://239.45.1.30:5140
四年级,rtp://239.45.1.31:5140
五年级,rtp://239.45.1.32:5140
六年级,rtp://239.45.1.33:5140
七年级,rtp://239.45.1.34:5140
八年级,rtp://239.45.1.35:5140
九年级,rtp://239.45.1.36:5140
高一年级,rtp://239.45.1.37:5140
高二年级,rtp://239.45.1.38:5140
高三年级,rtp://239.45.1.39:5140

家庭理财,rtp://239.45.0.14:5140
第一财经,rtp://239.45.3.111:5140
东方财经,rtp://239.45.1.119:5140
