一起看,#genre#
顾久撩电影,https://127.0.0.1:8080/huya/16422212.m3u8
老炮说电影,https://127.0.0.1:8080/huya/15454716.m3u8
虎妞说电影,https://127.0.0.1:8080/huya/20343144.m3u8
老皮讲电影,https://127.0.0.1:8080/huya/16968572.m3u8
恐怖电影解说,https://127.0.0.1:8080/huya/16741179.m3u8
刘老师说电影,https://127.0.0.1:8080/huya/20289754.m3u8

afreecatv,#genre#
bks1004,https://127.0.0.1:8080/afreecatv/bks1004.m3u8
sol3712,https://127.0.0.1:8080/afreecatv/sol3712.m3u8
dlsgk1763,https://127.0.0.1:8080/afreecatv/dlsgk1763.m3u8
hl6260,https://127.0.0.1:8080/afreecatv/hl6260.m3u8
